"days","total.precip","max.flag"
1995-12-31,0.01,"Normal"
1996-01-01,0,"Normal"
1996-01-02,0.44,"Normal"
1996-01-03,0.13,"Normal"
1996-01-04,0.01,"Normal"
1996-01-05,0.65,"Normal"
1996-01-06,0.69,"Normal"
1996-01-07,1.11,"Normal"
1996-01-08,0,"Normal"
1996-01-09,0.05,"Normal"
1996-01-10,0,"Normal"
1996-01-11,0,"Normal"
1996-01-12,0.01,"Normal"
1996-01-13,0.1,"Normal"
1996-01-14,0.31,"Normal"
1996-01-15,1.27,"Normal"
1996-01-16,0.01,"Normal"
1996-01-17,0,"Normal"
1996-01-18,0.07,"Normal"
1996-01-19,0.89,"Normal"
1996-01-20,1.1,"Normal"
1996-01-21,0.19,"Normal"
1996-01-22,0.25,"Normal"
1996-01-23,0.38,"Normal"
1996-01-24,0.3,"Normal"
1996-01-25,0,"Normal"
1996-01-26,0,"Normal"
1996-01-27,0,"Normal"
1996-01-28,0.21,"Normal"
1996-01-29,0,"Normal"
1996-01-30,0.07,"EST"
1996-01-31,0,"EST"
1996-02-01,0,"EST"
1996-02-02,0,"EST"
1996-02-03,0,"EST"
1996-02-04,0,"EST"
1996-02-05,1.09,"EST"
1996-02-06,2.01,"Normal"
1996-02-07,1.97,"Normal"
1996-02-08,2.91,"Normal"
1996-02-09,0,"Normal"
1996-02-10,0,"Normal"
1996-02-11,0,"Normal"
1996-02-12,0,"Normal"
1996-02-13,0,"Normal"
1996-02-14,0,"Normal"
1996-02-15,0,"Normal"
1996-02-16,0.03,"Normal"
1996-02-17,0.73,"Normal"
1996-02-18,0.39,"Normal"
1996-02-19,0.24,"Normal"
1996-02-20,0.26,"Normal"
1996-02-21,0.08,"Normal"
1996-02-22,0.52,"Normal"
1996-02-23,0.36,"Normal"
1996-02-24,0.06,"Normal"
1996-02-25,0,"Normal"
1996-02-26,0,"Normal"
1996-02-27,0.01,"Normal"
1996-02-28,0,"Normal"
1996-02-29,0,"Normal"
1996-03-01,0,"Normal"
1996-03-02,0,"Normal"
1996-03-03,0.51,"Normal"
1996-03-04,0.35,"Normal"
1996-03-05,0.2,"Normal"
1996-03-06,0.04,"Normal"
1996-03-07,0.16,"Normal"
1996-03-08,0.01,"Normal"
1996-03-09,0.25,"Normal"
1996-03-10,0.2,"Normal"
1996-03-11,0.05,"Normal"
1996-03-12,0.03,"Normal"
1996-03-13,0.01,"Normal"
1996-03-14,0,"Normal"
1996-03-15,0,"Normal"
1996-03-16,0,"Normal"
1996-03-17,0.01,"Normal"
1996-03-18,0,"Normal"
1996-03-19,0.06,"Normal"
1996-03-20,0.02,"Normal"
1996-03-21,0.2,"Normal"
1996-03-22,0.32,"Normal"
1996-03-23,0.01,"Normal"
1996-03-24,0,"Normal"
1996-03-25,0,"Normal"
1996-03-26,0,"Normal"
1996-03-27,0.01,"Normal"
1996-03-28,0.02,"Normal"
1996-03-29,0.24,"Normal"
1996-03-30,0,"Normal"
1996-03-31,0.32,"Normal"
1996-04-01,0.36,"Normal"
