"","STATION","STATION_NAME","DATE","PRCP","days","total.precip","max.flag","cooksd","tc.station"
"73","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19950218",2.08,1995-02-18,2.24,"Normal",0.0506627048743708,"PEA1"
"74","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19950219",1.64,1995-02-19,2.09,"Normal",0.13215024291348,"PEA1"
"75","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19951108",1.13,1995-11-08,1.55,"Normal",0.0484638960961385,"PEA1"
"76","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960208",2.75,1996-02-08,3.34,"Normal",0.751805639246985,"PEA1"
"77","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960915",0.6,1996-09-15,1.67,"Normal",0.0761453012160554,"PEA1"
"78","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970218",1.06,1997-02-18,0.6,"Normal",0.0339994263380903,"PEA1"
"79","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970318",1.9,1997-03-18,1.07,"Normal",0.376303626303388,"PEA1"
"80","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970319",1.51,1997-03-19,1.18,"Normal",0.0292349272849295,"PEA1"
"81","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970915",0.96,1997-09-15,0.29,"Normal",0.0635435730168942,"PEA1"
"82","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971029",1.34,1997-10-29,1.59,"Normal",0.029814713328195,"PEA1"
"83","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971216",2.57,1997-12-16,2.7,"Normal",0.0751920667909691,"PEA1"
"84","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19980105",1.46,1998-01-05,2.18,"Normal",0.233533637162288,"PEA1"
"85","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981113",2.59,1998-11-13,1.74,"Normal",0.71166576638584,"PEA1"
"86","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981120",2.42,1998-11-20,2.13,"Normal",0.0387127069841487,"PEA1"
"87","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981121",1.36,1998-11-21,1.8,"Normal",0.0812062739665983,"PEA1"
"88","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981125",3.06,1998-11-25,3.36,"Normal",0.355414393148106,"PEA1"
"89","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981227",2.58,1998-12-27,2.72,"Normal",0.0825325221898357,"PEA1"
"90","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990118",1.4,1999-01-18,1.68,"Normal",0.0400906761936656,"PEA1"
"91","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990128",2.25,1999-01-28,2.35,"Normal",0.0374917339671512,"PEA1"
"92","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991007",0.91,1999-10-07,0.38,"Normal",0.0348360541350341,"PEA1"
"93","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991111",1.24,1999-11-11,1.64,"Normal",0.0551545216944803,"PEA1"
"94","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991125",1.66,1999-11-25,1.95,"Normal",0.0652447380698316,"PEA1"
"95","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991214",1.33,1999-12-14,0.92,"Normal",0.0395752196909382,"PEA1"
"96","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991215",2.53,1999-12-15,1.82,"Normal",0.447953424080499,"PEA1"
"97","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971030",2.04,1997-10-30,1.69,"Normal",0.426929795112425,"PEB1"
"98","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19980105",1.46,1998-01-05,0.38,"Normal",1.99701468596403,"PEB1"
"99","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19900830",0.82,1990-08-30,0.28,"Normal",0.0231054412363316,"PGC1"
"100","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19901123",2.54,1990-11-23,2.71,"Normal",0.0317526495015588,"PGC1"
"101","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19901124",4.08,1990-11-24,3.91,"Normal",1.04149139880547,"PGC1"
"102","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19901204",1.16,1990-12-04,1.9,"Normal",0.030438819587788,"PGC1"
"103","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19910107",0.69,1991-01-07,1.62,"Normal",0.0236488801670242,"PGC1"
"104","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19910403",1.82,1991-04-03,3.24,"Normal",0.331370044170345,"PGC1"
"105","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19911119",0.83,1991-11-19,1.93,"Normal",0.0472558749246577,"PGC1"
"106","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19920127",1.48,1992-01-27,2.43,"Normal",0.0846263885037655,"PGC1"
"107","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941026",1.52,1994-10-26,1.31,"Normal",0.0381218254979591,"PGC1"
"108","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941130",2.5,1994-11-30,3.44,"Normal",0.147630745717719,"PGC1"
"109","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941217",0.77,1994-12-17,1.85,"Normal",0.039882372343979,"PGC1"
"110","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941219",1.37,1994-12-19,2.79,"Normal",0.205519255383805,"PGC1"
"111","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941220",1.35,1994-12-20,1.96,"Normal",0.020905021090975,"PGC1"
"112","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941226",2.45,1994-12-26,3.3,"Normal",0.101213207738689,"PGC1"
"113","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941227",1.11,1994-12-27,2.08,"Normal",0.0572008414950617,"PGC1"
"114","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19951108",1.13,1995-11-08,2.13,"Normal",0.0634908818485666,"PGC1"
"115","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960120",1,1996-01-20,1.82,"Normal",0.031852759282437,"PGC1"
"116","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960207",1.98,1996-02-07,1.88,"Normal",0.056625483091841,"PGC1"
"117","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960208",2.75,1996-02-08,2.03,"Normal",0.867649001520541,"PGC1"
"118","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960423",2.31,1996-04-23,3.99,"Normal",0.744526242309939,"PGC1"
"119","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19961119",0.86,1996-11-19,0.23,"Normal",0.0331300914829917,"PGC1"
"120","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970301",1.23,1997-03-01,2.07,"Normal",0.0464933809382294,"PGC1"
