STATION,STATION_NAME,DATE,PRCP
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880519,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880520,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880521,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880522,0.06
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880523,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880524,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880525,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880526,0.07
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880527,0.59
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880528,0.33
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880529,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880530,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880531,0.14
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880601,0.41
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880602,0.45
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880603,0.07
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880604,0.22
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880605,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880606,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880607,0.12
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880608,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880609,0.36
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880610,0.27
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880611,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880612,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880613,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880614,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880615,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880616,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880617,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880618,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880619,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880620,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880621,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880622,0.04
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880623,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880624,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880625,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880626,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880627,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880628,0.10
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880629,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880630,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880701,0.05
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880702,0.04
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880703,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880704,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880705,0.11
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880706,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880707,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880708,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880709,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880710,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880711,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880712,0.20
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880713,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880714,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880715,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880716,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880717,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880718,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880719,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880720,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880721,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880722,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880723,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880724,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880725,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880726,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880727,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880728,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880729,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880730,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880731,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880801,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880802,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880803,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880804,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880805,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880806,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880807,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880808,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880809,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880810,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880811,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880812,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880813,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880814,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880815,0.08
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880816,0.19
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880817,0.16
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880818,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880819,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880820,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880821,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880822,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880823,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880824,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880825,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880826,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880827,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880828,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880829,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880830,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880831,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880901,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880902,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880903,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880904,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880905,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880906,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880907,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880908,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880909,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880910,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880911,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880912,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880913,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880914,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880915,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880916,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880917,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880918,0.68
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880919,0.19
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880920,0.07
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880921,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880922,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880923,0.06
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880924,0.29
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880925,0.35
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880926,0.29
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880927,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880928,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880929,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880930,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881001,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881002,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881003,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881004,0.08
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881005,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881006,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881007,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881008,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881009,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881010,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881011,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881012,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881013,0.39
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881014,0.29
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881015,0.41
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881016,0.71
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881017,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881018,0.13
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881019,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881020,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881021,0.14
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881022,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881023,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881024,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881025,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881026,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881027,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881028,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881029,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881030,0.11
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881031,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881101,0.05
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881102,1.17
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881103,1.25
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881104,0.36
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881105,1.08
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881106,0.11
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881107,0.09
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881108,0.43
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881109,0.30
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881110,0.38
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881111,0.20
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881112,0.37
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881113,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881114,0.04
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881115,0.18
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881116,0.25
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881117,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881118,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881119,0.44
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881120,0.19
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881121,0.61
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881122,1.15
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881123,0.49
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881124,0.27
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881125,0.19
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881126,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881127,0.44
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881128,0.08
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881129,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881130,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881201,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881202,0.05
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881203,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881204,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881205,0.23
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881206,0.33
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881207,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881208,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881209,0.03
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881210,0.05
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881211,0.05
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881212,0.12
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881213,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881214,0.01
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881215,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881216,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881217,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881218,0.24
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881219,0.06
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881220,0.22
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881221,0.06
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881222,0.45
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881223,0.13
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881224,0.25
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881225,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881226,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881227,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881228,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881229,2.03
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881230,0.83
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19881231,0.00
